Date;Price;Open;High;Low;Vol.;Change %
19/09/2024;78,43;78,43;78,43;78,43;;-1,73%
18/09/2024;79,81;79,81;79,81;79,81;;-1,66%
17/09/2024;81,16;81,16;81,16;81,16;;0,86%
16/09/2024;80,47;80,47;80,47;80,47;;-4,09%
13/09/2024;83,9;83,9;83,9;83,9;;-1,39%
12/09/2024;85,08;85,08;85,08;85,08;;-2,64%
11/09/2024;87,39;87,39;87,39;87,39;;-0,50%
10/09/2024;87,83;87,83;87,83;87,83;;-2,80%
09/09/2024;90,36;90,36;90,36;90,36;;0,29%
06/09/2024;90,1;90,1;90,1;90,1;;4,16%
05/09/2024;86,5;86,5;86,5;86,5;;0,68%
04/09/2024;85,92;85,92;85,92;85,92;;-3,10%
03/09/2024;88,67;88,67;88,67;88,67;;8,07%
30/08/2024;82,05;82,05;82,05;82,05;;-0,02%
29/08/2024;82,07;82,07;82,07;82,07;;-0,28%
28/08/2024;82,3;82,3;82,3;82,3;;-0,18%
27/08/2024;82,45;82,45;82,45;82,45;;0,50%
26/08/2024;82,04;82,04;82,04;82,04;;0,02%
23/08/2024;82,02;82,02;82,02;82,02;;-1,45%
22/08/2024;83,23;83,23;83,23;83,23;;-1,77%
21/08/2024;84,73;84,73;84,73;84,73;;-0,20%
20/08/2024;84,9;84,9;84,9;84,9;;-1,67%
19/08/2024;86,34;86,34;86,34;86,34;;2,81%
16/08/2024;83,98;83,98;83,98;83,98;;-0,59%
15/08/2024;84,48;84,48;84,48;84,48;;0,08%
14/08/2024;84,41;84,41;84,41;84,41;;1,72%
13/08/2024;82,98;82,98;82,98;82,98;;-0,49%
12/08/2024;83,39;83,39;83,39;83,39;;8,76%
09/08/2024;76,67;76,67;76,67;76,67;;2,01%
08/08/2024;75,16;75,16;75,16;75,16;;-0,15%
07/08/2024;75,27;75,27;75,27;75,27;;-0,30%
06/08/2024;75,5;75,5;75,5;75,5;;3,75%
05/08/2024;72,77;72,77;72,77;72,77;;-3,69%
02/08/2024;75,56;75,56;75,56;75,56;;-1,31%
01/08/2024;76,56;76,56;76,56;76,56;;1,22%
31/07/2024;75,64;75,64;75,64;75,64;;11,73%
30/07/2024;67,7;67,7;67,7;67,7;;-0,27%
29/07/2024;67,88;67,88;67,88;67,88;;0,19%
26/07/2024;67,75;67,75;67,75;67,75;;-0,44%
25/07/2024;68,05;68,05;68,05;68,05;;-0,35%
24/07/2024;68,29;68,29;68,29;68,29;;1,62%
